# gnuplot data for packet timing
# ts	local_ts	difference
1383087283756	1383087283485	271
1383087283766	1383087283495	271
1383087283776	1383087283505	271
1383087283786	1383087283515	271
1383087283796	1383087283525	271
1383087283806	1383087283535	271
1383087283816	1383087283545	271
1383087283826	1383087283555	271
1383087283836	1383087283565	271
1383087283846	1383087283575	271
1383087283856	1383087283585	271
1383087283866	1383087283595	271
1383087283876	1383087283605	271
1383087283886	1383087283615	271
1383087283896	1383087283625	271
1383087283906	1383087283635	271
1383087283916	1383087283645	271
1383087283926	1383087283655	271
1383087283936	1383087283665	271
1383087283946	1383087283675	271
1383087283956	1383087283685	271
1383087283966	1383087283695	271
1383087283976	1383087283705	271
1383087283986	1383087283715	271
1383087283996	1383087283725	271
1383087284006	1383087283735	271
1383087284016	1383087283745	271
1383087284026	1383087283755	271
1383087284036	1383087283765	271
1383087284046	1383087283775	271
1383087284056	1383087283785	271
1383087284066	1383087283795	271
1383087284076	1383087283805	271
