# gnuplot data for packet timing
# ts	local_ts	difference
1383126874742	1383126874738	4
1383126874752	1383126874774	22
1383126874766	1383126874780	14
1383126874772	1383126874784	12
1383126874782	1383126874820	38
1383126874792	1383126874827	35
1383126874812	1383126874831	19
1383126874826	1383126874871	45
1383126874836	1383126874878	42
1383126874846	1383126874883	37
1383126874859	1383126874919	60
1383126874866	1383126874935	69
1383126874876	1383126874939	63
1383126874886	1383126874952	66
1383126874896	1383126874969	73
1383126874917	1383126874973	56
1383126874927	1383126874998	71
1383126874937	1383126875016	79
1383126874947	1383126875020	73
1383126874957	1383126875031	74
1383126874967	1383126875042	75
1383126874977	1383126875059	82
1383126874988	1383126875070	82
1383126875003	1383126875075	72
1383126875007	1383126875109	102
1383126875017	1383126875116	99
1383126875028	1383126875120	92
1383126875037	1383126875155	118
1383126875062	1383126875161	99
1383126875072	1383126875164	92
1383126875082	1383126875187	105
1383126875100	1383126875209	109
1383126875113	1383126875213	100
1383126875123	1383126875250	127
1383126875133	1383126875257	124
1383126875147	1383126875262	115
1383126875153	1383126875300	147
1383126875163	1383126875307	144
1383126875173	1383126875312	139
1383126875193	1383126875345	152
1383126875207	1383126875352	145
1383126875217	1383126875357	140
1383126875228	1383126875379	151
1383126875244	1383126875400	156
1383126875247	1383126875405	158
1383126875257	1383126875443	186
1383126875267	1383126875450	183
1383126875277	1383126875453	176
1383126875290	1383126875491	201
1383126875297	1383126875497	200
1383126875307	1383126875500	193
1383126875317	1383126875524	207
1383126875327	1383126875545	218
1383126875350	1383126875549	199
1383126875360	1383126875592	232
1383126875370	1383126875600	230
1383126875385	1383126875617	232
1383126875390	1383126875626	236
1383126875400	1383126875643	243
1383126875410	1383126875649	239
1383126875420	1383126875666	246
1383126875445	1383126875671	226
1383126875456	1383126875689	233
1383126875466	1383126875693	227
1383126875482	1383126875698	216
1383126875485	1383126875717	232
1383126875495	1383126875721	226
1383126875505	1383126875737	232
1383126875516	1383126875744	228
1383126875540	1383126875759	219
1383126875550	1383126875765	215
1383126875560	1383126875782	222
1383126875576	1383126875789	213
1383126875580	1383126875794	214
1383126875590	1383126875810	220
1383126875600	1383126875828	228
1383126875610	1383126875835	225
1383126875624	1383126875840	216
1383126875630	1383126875857	227
1383126875640	1383126875863	223
1383126875650	1383126875880	230
1383126875672	1383126875886	214
1383126875686	1383126875903	217
1383126875695	1383126875907	212
1383126875706	1383126875924	218
1383126875732	1383126875930	198
1383126875742	1383126875934	192
1383126875752	1383126875952	200
1383126875767	1383126875957	190
1383126875772	1383126875976	204
1383126875782	1383126875981	199
1383126875792	1383126875997	205
1383126875814	1383126876020	206
1383126875828	1383126876024	196
1383126875837	1383126876030	193
1383126875847	1383126876046	199
1383126875862	1383126876052	190
1383126875868	1383126876070	202
1383126875878	1383126876074	196
1383126875887	1383126876117	230
