# gnuplot data for packet timing
# ts	local_ts	difference
1383126871871	1383126871939	68
1383126871881	1383126871945	64
1383126871891	1383126871950	59
1383126871902	1383126871978	76
1383126871912	1383126871984	72
1383126871921	1383126871990	69
1383126871932	1383126871996	64
1383126871947	1383126872011	64
1383126871951	1383126872029	78
1383126871961	1383126872035	74
1383126871971	1383126872041	70
1383126871981	1383126872056	75
1383126872004	1383126872077	73
1383126872015	1383126872083	68
1383126872025	1383126872089	64
1383126872041	1383126872106	65
1383126872045	1383126872125	80
1383126872054	1383126872131	77
1383126872065	1383126872138	73
1383126872075	1383126872152	77
1383126872089	1383126872171	82
1383126872095	1383126872177	82
1383126872104	1383126872182	78
1383126872114	1383126872200	86
1383126872135	1383126872217	82
1383126872147	1383126872223	76
1383126872158	1383126872230	72
1383126872167	1383126872247	80
1383126872184	1383126872263	79
1383126872187	1383126872269	82
1383126872197	1383126872273	76
1383126872207	1383126872279	72
1383126872217	1383126872309	92
1383126872241	1383126872315	74
1383126872251	1383126872319	68
1383126872261	1383126872324	63
1383126872279	1383126872340	61
1383126872282	1383126872357	75
1383126872291	1383126872364	73
1383126872301	1383126872370	69
1383126872311	1383126872386	75
1383126872325	1383126872390	65
1383126872331	1383126872407	76
1383126872341	1383126872413	72
1383126872351	1383126872421	70
1383126872373	1383126872450	77
1383126872385	1383126872455	70
1383126872396	1383126872460	64
1383126872406	1383126872467	61
1383126872420	1383126872481	61
1383126872425	1383126872500	75
1383126872435	1383126872506	71
1383126872445	1383126872512	67
1383126872465	1383126872527	62
1383126872477	1383126872544	67
1383126872487	1383126872549	62
1383126872498	1383126872554	56
1383126872512	1383126872559	47
1383126872517	1383126872574	57
1383126872527	1383126872594	67
1383126872537	1383126872600	63
1383126872547	1383126872606	59
1383126872569	1383126872621	52
1383126872579	1383126872641	62
1383126872589	1383126872648	59
1383126872605	1383126872654	49
1383126872609	1383126872668	59
1383126872619	1383126872672	53
1383126872629	1383126872689	60
1383126872639	1383126872695	56
1383126872652	1383126872700	48
1383126872659	1383126872715	56
1383126872669	1383126872761	92
1383126872679	1383126872768	89
1383126872698	1383126872784	86
1383126872710	1383126872790	80
1383126872720	1383126872794	74
1383126872730	1383126872810	80
1383126872745	1383126872815	70
1383126872750	1383126872833	83
1383126872761	1383126872837	76
1383126872770	1383126872854	84
1383126872791	1383126872860	69
1383126872804	1383126872880	76
1383126872814	1383126872887	73
1383126872824	1383126872905	81
1383126872839	1383126872910	71
1383126872844	1383126872928	84
1383126872854	1383126872931	77
1383126872864	1383126872937	73
1383126872874	1383126872955	81
1383126872899	1383126872972	73
1383126872909	1383126872979	70
1383126872919	1383126872984	65
1383126872935	1383126873001	66
1383126872939	1383126873019	80
